ticker,short name,name
A,agilent,Agilent
AA,alcoa,Alcoa
AABA,altaba,Altaba
AAC,aac,AAC
AADR,advisorshares-dorsey-wright,AdvisorShares Dorsey Wright
AAL,american-airlines,American Airlines
AAMC,altisource-asset-management,Altisource Asset Management
AAME,atlantic-american,Atlantic American
AAN,aaron's,Aaron's
AAOI,applied-optoelectronics,Applied Optoelectronics
AAON,aaon,AAON
AAP,advance-auto-parts,Advance Auto Parts
AAPL,apple,Apple
AAT,american-assets-trust,American Assets Trust
AAU,almaden-minerals,Almaden Minerals
AAWW,atlas-air-worldwide,Atlas Air Worldwide
AAXJ,ishares-msci-all-country-asia-ex-japan-index-fund,iShares MSCI All Country Asia ex Japan Index Fund
AAXN,axon-enterprise,Axon Enterprise
AB,alliancebernstein-holding-units,AllianceBernstein Holding Units
ABB,abb,ABB
ABBV,abbvie,AbbVie
ABC,amerisourcebergen,AmerisourceBergen
ABCB,ameris-bancorp,Ameris Bancorp
ABDC,alcentra-capital,Alcentra Capital
ABEO,abeona-therapeutics,Abeona Therapeutics
ABEV,ambev-s-a-american-depositary-shares-(each-representing-1),Ambev S.A. American Depositary Shares (Each representing 1)
ABG,asbury-automotive,Asbury Automotive
ABIL,ability,Ability
ABIO,arca-biopharma,ARCA biopharma
ABM,abm-industries-incorporated,ABM Industries Incorporated
ABMD,abiomed,ABIOMED
ABR,arbor-realty-trust,Arbor Realty Trust
ABT,abbott-laboratories,Abbott Laboratories
ABTX,allegiance-bancshares,Allegiance Bancshares
ABUS,arbutus-biopharma,Arbutus Biopharma
AC,associated-capital,Associated Capital
ACA,arcosa,Arcosa
ACAD,acadia-pharmaceuticals,ACADIA Pharmaceuticals
ACB,aurora-cannabis,Aurora Cannabis
ACBI,atlantic-capital-bancshares,Atlantic Capital Bancshares
ACC,american-campus-communities,American Campus Communities
ACCO,acco-brands,Acco Brands
ACER,acer-therapeutics,Acer Therapeutics
ACET,aceto,Aceto
ACGL,arch-capital,Arch Capital
ACH,aluminum-of-china-limited-american-depositary-shares,Aluminum of China Limited American Depositary Shares
ACHC,acadia-healthcare-company,Acadia Healthcare Company
ACHN,achillion-pharmaceuticals,Achillion Pharmaceuticals
ACHV,achieve-life-sciences,Achieve Life Sciences
ACIA,acacia-communications,Acacia Communications
ACIM,spdr-msci-acwi-imi,SPDR MSCI ACWI IMI
ACIU,ac-immune-sa,AC Immune SA
ACIW,aci-worldwide,ACI Worldwide
ACLS,axcelis,Axcelis
ACM,aecom,AECOM
ACMR,acm-research,ACM Research
ACN,accenture-plc-(ireland),Accenture plc (Ireland)
ACNB,acnb,ACNB
ACOR,acorda-therapeutics,Acorda Therapeutics
ACP,aberdeen-income-credit-strategies-fund,Aberdeen Income Credit Strategies Fund
ACRE,ares-commercial-real-estate,Ares Commercial Real Estate
ACRS,aclaris-therapeutics,Aclaris Therapeutics
ACRX,acelrx-pharmaceuticals,AcelRx Pharmaceuticals
ACST,acasti-pharma,Acasti Pharma
ACTG,acacia-research,Acacia Research
ACU,acme-united-corporation-,Acme United Corporation.
ACV,allianzgi-diversified-income-convertible-fund-of-beneficial-interest,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest
ACWI,ishares-msci-acwi-index-fund,iShares MSCI ACWI Index Fund
ACWV,ishares-edge-msci-min-vol-global,iShares Edge MSCI Min Vol Global
ACWX,ishares-msci-acwi-ex-us-index-fund,iShares MSCI ACWI ex US Index Fund
ACY,aerocentury,AeroCentury
ADAP,adaptimmune-therapeutics-plc,Adaptimmune Therapeutics plc
ADBE,adobe,Adobe
ADC,agree-realty,Agree Realty
ADES,advanced-emissions-solutions,Advanced Emissions Solutions
ADI,analog-devices,Analog Devices
ADIL,adial-pharmaceuticals,Adial Pharmaceuticals
ADM,archer-daniels-midland-company,Archer-Daniels-Midland Company
ADMA,adma-biologics,ADMA Biologics
ADMP,adamis-pharmaceuticals,Adamis Pharmaceuticals
ADMS,adamas-pharmaceuticals,Adamas Pharmaceuticals
ADNT,adient-plc,Adient plc
ADOM,adomani,ADOMANI
ADP,automatic-data-processing,Automatic Data Processing
ADRA,invesco-bldrs-asia-50-index-fund,Invesco BLDRS Asia 50 Index Fund
ADRD,invesco-bldrs-developed-markets-100-index-fund,Invesco BLDRS Developed Markets 100 Index Fund
ADRE,invesco-bldrs-emerging-markets-50-index-fund,Invesco BLDRS Emerging Markets 50 Index Fund
ADRO,aduro-biotech,Aduro Biotech
ADRU,invesco-bldrs-europe-select-index-fund,Invesco BLDRS Europe Select Index Fund
ADS,alliance-data-systems,Alliance Data Systems
ADSK,autodesk,Autodesk
ADSW,advanced-disposal-services,Advanced Disposal Services
ADT,adt,ADT
ADTN,adtran,ADTRAN
ADUS,addus-homecare,Addus HomeCare
ADVM,adverum-biotechnologies,Adverum Biotechnologies
ADX,adams-diversified-equity-fund,Adams Diversified Equity Fund
ADXS,advaxis,Advaxis
AE,adams-resources-energy,Adams Resources & Energy
AEE,ameren,Ameren
AEF,aberdeen-emerging-markets-equity-income-fund,Aberdeen Emerging Markets Equity Income Fund
AEG,aegon-n-v-,AEGON N.V.
AEGN,aegion,Aegion
AEHR,aehr-test-systems,Aehr Test Systems
AEIS,advanced-energy-industries,Advanced Energy Industries
AEL,american-equity-investment-life-holding-company,American Equity Investment Life Holding Company
AEM,agnico-eagle-mines-limited,Agnico Eagle Mines Limited
AEMD,aethlon-medical,Aethlon Medical
AEO,american-eagle-outfitters,American Eagle Outfitters
AEP,american-electric-power-company,American Electric Power Company
AER,aercap-n-v-,AerCap N.V.
AERI,aerie-pharmaceuticals,Aerie Pharmaceuticals
AES,the-aes,The AES
AETI,american-electric,American Electric
AEY,addvantage,ADDvantage
AEYE,audioeye,AudioEye
AEZS,aeterna-zentaris,Aeterna Zentaris
AFB,alliancebernstein-national-municipal-income-fund,AllianceBernstein National Municipal Income Fund
AFG,american-financial,American Financial
AFH,atlas-financial,Atlas Financial
AFI,armstrong-flooring,Armstrong Flooring
AFIN,american-finance-trust,American Finance Trust
AFK,vaneck-vectors-africa-index,VanEck Vectors-Africa Index
AFL,aflac-incorporated,AFLAC Incorporated
AFMD,affimed-n-v-,Affimed N.V.
AFT,apollo-senior-floating-rate-fund,Apollo Senior Floating Rate Fund
AG,first-majestic-silver-(canada),First Majestic Silver (Canada)
AGCO,agco,AGCO
AGD,aberdeen-global-dynamic-dividend-fund,Aberdeen Global Dynamic Dividend Fund
AGE,agex-therapeutics,AgeX Therapeutics
AGEN,agenus,Agenus
AGF,db-agriculture-long-etn-due-april-1-2038,DB Agriculture Long ETN due April 1 2038
AGFS,agrofresh-solutions,AgroFresh Solutions
AGG,ishares-core-u-s-aggregate-bond,iShares Core U.S. Aggregate Bond
AGI,alamos-gold,Alamos Gold
AGIO,agios-pharmaceuticals,Agios Pharmaceuticals
AGLE,aeglea-biotherapeutics,Aeglea BioTherapeutics
AGM,federal-agricultural-mortgage,Federal Agricultural Mortgage
AGM.A,federal-agricultural-mortgage,Federal Agricultural Mortgage
AGMH,agm,AGM
AGN,allergan-plc,Allergan plc
AGNC,agnc-investment,AGNC Investment
AGO,assured-guaranty,Assured Guaranty
AGQ,proshares-ultra-silver,ProShares Ultra Silver
AGR,avangrid,Avangrid
AGRO,adecoagro-s-a-,Adecoagro S.A.
AGRX,agile-therapeutics,Agile Therapeutics
AGS,playags,PlayAGS
AGTC,applied-genetic,Applied Genetic
AGX,argan,Argan
AGYS,agilysys,Agilysys
AGZ,ishares-agency-bond,iShares Agency Bond
AHC,a-h-belo-(tx),A.H. Belo (TX)
AHH,armada-hoffler-properties,Armada Hoffler Properties
AHL,aspen-insurance-limited,Aspen Insurance Limited
AHPI,allied-healthcare-products,Allied Healthcare Products
AHT,ashford-hospitality-trust,Ashford Hospitality Trust
AI,arlington-asset-investment-(new),Arlington Asset Investment (new)
AIA,ishares-asia-50-etf,iShares Asia 50 ETF
AIF,apollo-tactical-income-fund,Apollo Tactical Income Fund
AIG,american-international,American International
AIHS,senmiao-technology-limited,Senmiao Technology Limited
AIMC,altra-industrial-motion,Altra Industrial Motion
AIMT,aimmune-therapeutics,Aimmune Therapeutics
AIN,albany-international,Albany International
AINC,ashford-(holding-company),Ashford (Holding Company)
AINV,apollo-investment,Apollo Investment
AIPT,precision-therapeutics,Precision Therapeutics
AIR,aar,AAR
AIRG,airgain,Airgain
AIRI,air-industries,Air Industries
AIRT,air-t,Air T
AIT,applied-industrial,Applied Industrial
AIV,apartment-investment-and-management-company,Apartment Investment and Management Company
AIZ,assurant,Assurant
AJG,arthur-j-gallagher-co-,Arthur J. Gallagher & Co.
AJRD,aerojet-rocketdyne,Aerojet Rocketdyne
AJX,great-ajax,Great Ajax
AKAM,akamai,Akamai
AKAO,achaogen,Achaogen
AKBA,akebia-therapeutics,Akebia Therapeutics
AKCA,akcea-therapeutics,Akcea Therapeutics
AKER,akers-biosciences,Akers Biosciences
AKG,asanko-gold,Asanko Gold
AKO.A,embotelladora-andina-s-a-,Embotelladora Andina S.A.
AKO.B,embotelladora-andina-s-a-,Embotelladora Andina S.A.
AKP,alliance-california-municipal-income-fund,Alliance California Municipal Income Fund
AKR,acadia-realty-trust,Acadia Realty Trust
AKRX,akorn,Akorn
AKS,ak-steel-holding,AK Steel Holding
AKTS,akoustis,Akoustis
AKTX,akari-therapeutics-plc,Akari Therapeutics Plc
AL,air-lease,Air Lease
ALAC,alberton-acquisition,Alberton Acquisition
ALB,albemarle,Albemarle
ALBO,albireo-pharma,Albireo Pharma
ALCO,alico,Alico
ALD,wisdomtree-asia-local-debt-fund,WisdomTree Asia Local Debt Fund
ALDR,alder-biopharmaceuticals,Alder BioPharmaceuticals
ALDX,aldeyra-therapeutics,Aldeyra Therapeutics
ALE,allete,Allete
ALEX,alexander-baldwin-reit-holding-company,Alexander & Baldwin REIT Holding Company
ALFA,alphaclone-alternative-alpha,AlphaClone Alternative Alpha
ALG,alamo,Alamo
ALGN,align-technology,Align Technology
ALGR,allegro-merger,Allegro Merger
ALGT,allegiant-travel-company,Allegiant Travel Company
ALIM,alimera-sciences,Alimera Sciences
ALJJ,alj-regional,ALJ Regional
ALK,alaska-air,Alaska Air
ALKS,alkermes-plc,Alkermes plc
ALL,allstate-(the),Allstate (The)
ALLE,allegion-plc,Allegion plc
ALLK,allakos,Allakos
ALLO,allogene-therapeutics,Allogene Therapeutics
ALLT,allot,Allot
ALLY,ally-financial,Ally Financial
ALNA,allena-pharmaceuticals,Allena Pharmaceuticals
ALNY,alnylam-pharmaceuticals,Alnylam Pharmaceuticals
ALO,alio-gold-(canada),Alio Gold (Canada)
ALOT,astronova,AstroNova
ALPN,alpine-immune-sciences,Alpine Immune Sciences
ALQA,alliqua-biomedical,Alliqua BioMedical
ALRM,alarm-com,Alarm.com
ALRN,aileron-therapeutics,Aileron Therapeutics
ALSK,alaska-communications-systems,Alaska Communications Systems
ALSN,allison-transmission,Allison Transmission
ALT,altimmune,Altimmune
ALTM,altus-midstream-company,Altus Midstream Company
ALTR,altair-engineering,Altair Engineering
ALV,autoliv,Autoliv
ALX,alexander's,Alexander's
ALXN,alexion-pharmaceuticals,Alexion Pharmaceuticals
ALYA,alithya,Alithya
AM,antero-midstream-partners-representing-limited-partner-interests,Antero Midstream Partners representing limited partner interests
AMAG,amag-pharmaceuticals,AMAG Pharmaceuticals
AMAL,amalgamated-bank,Amalgamated Bank
AMAT,applied-materials,Applied Materials
AMBA,ambarella,Ambarella
AMBC,ambac-financial,Ambac Financial
AMBO,ambow-education-holding-american-depository-shares-each-representing-two,Ambow Education Holding American Depository Shares each representing two
AMBR,amber-road,Amber Road
AMC,amc-entertainment,AMC Entertainment
AMCI,amci-acquisition,AMCI Acquisition
AMCN,airmedia,AirMedia
AMCX,amc-networks,AMC Networks
AMD,advanced-micro-devices,Advanced Micro Devices
AME,ametek,AMETEK
AMED,amedisys,Amedisys
AMEH,apollo-medical,Apollo Medical
AMG,affiliated-managers,Affiliated Managers
AMGN,amgen,Amgen
AMGP,antero-midstream-gp-of-beneficial-interests,Antero Midstream GP of Beneficial Interests
AMH,american-homes-4-rent-of-beneficial-interest,American Homes 4 Rent of Beneficial Interest
AMID,american-midstream-partners-representing-limited-partner-interests,American Midstream Partners representing Limited Partner Interests
AMJ,jpmorgan-chase-capital-xvi-jp-morgan-alerian-mlp-etn,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN
AMKR,amkor-technology,Amkor Technology
AMLP,alerian-mlp,Alerian MLP
AMN,amn-healthcare-services,AMN Healthcare Services
AMNB,american-national-bankshares,American National Bankshares
AMOT,allied-motion,Allied Motion
AMOV,america-movil-s-a-b-de-c-v-an-depositary-shares,America Movil S.A.B. de C.V. An Depositary Shares
AMP,ameriprise-financial,Ameriprise Financial
AMPE,ampio-pharmaceuticals,Ampio Pharmaceuticals
AMPH,amphastar-pharmaceuticals,Amphastar Pharmaceuticals
AMR,alta-mesa-resources,Alta Mesa Resources
AMRB,american-river-bankshares,American River Bankshares
AMRC,ameresco,Ameresco
AMRH,ameri,Ameri
AMRK,a-mark-precious-metals,A-Mark Precious Metals
AMRN,amarin-plc,Amarin plc
AMRS,amyris,Amyris
AMRX,amneal-pharmaceuticals,Amneal Pharmaceuticals
AMS,american-shared-hospital-services,American Shared Hospital Services
AMSC,american-superconductor,American Superconductor
AMSF,amerisafe,AMERISAFE
AMSWA,american-software-common-stock,American Software Common Stock
AMT,american-tower-(reit),American Tower (REIT)
AMTB,mercantil-bank-holding,Mercantil Bank Holding
AMTBB,mercantil-bank-holding-b-common-stock,Mercantil Bank Holding B Common Stock
AMTD,td-ameritrade-holding,TD Ameritrade Holding
AMTX,aemetis,Aemetis
AMWD,american-woodmark,American Woodmark
AMX,america-movil-s-a-b-de-c-v-n-depository-receipt-series-l,America Movil S.A.B. de C.V.n Depository Receipt Series L
AMZN,amazon-com,Amazon.com
AN,autonation,AutoNation
ANAB,anaptysbio,AnaptysBio
ANAT,american-national-insurance-company,American National Insurance Company
ANDE,the-andersons,The Andersons
ANDX,andeavor-logistics-representing-limited-partner-interests,Andeavor Logistics representing Limited Partner Interests
ANET,arista-networks,Arista Networks
ANF,abercrombie-fitch-company,Abercrombie & Fitch Company
ANFI,amira-nature-foods,Amira Nature Foods
ANGI,angi-homeservices,ANGI Homeservices
ANGL,vaneck-vectors-fallen-angel-high-yield-bond,VanEck Vectors Fallen Angel High Yield Bond
ANGO,angiodynamics,AngioDynamics
ANH,anworth-mortgage-asset,Anworth Mortgage Asset
ANIK,anika-therapeutics,Anika Therapeutics
ANIP,ani-pharmaceuticals,ANI Pharmaceuticals
ANIX,anixa-biosciences,Anixa Biosciences
ANSS,ansys,ANSYS
ANTM,anthem,Anthem
ANY,sphere-3d,Sphere 3D
AOA,ishares-core-aggressive-allocation,iShares Core Aggressive Allocation
AOBC,american-outdoor-brands,American Outdoor Brands
AOD,aberdeen-total-dynamic-dividend-fund,Aberdeen Total Dynamic Dividend Fund
AOK,ishares-core-conservative-allocation,iShares Core Conservative Allocation
AOM,ishares-core-moderate-allocation,iShares Core Moderate Allocation
AON,aon-plc-(uk),Aon plc (UK)
AOR,ishares-core-growth-allocation,iShares Core Growth Allocation
AOS,a-o-smith,A.O. Smith
AOSL,alpha-and-omega-semiconductor-limited,Alpha and Omega Semiconductor Limited
AP,ampco-pittsburgh,Ampco-Pittsburgh
APA,apache,Apache
APAM,artisan-partners-asset-management,Artisan Partners Asset Management
APC,anadarko-petroleum,Anadarko Petroleum
APD,air-products-and-chemicals,Air Products and Chemicals
APDN,applied-dna-sciences,Applied DNA Sciences
APEI,american-public-education,American Public Education
APEN,apollo-endosurgery,Apollo Endosurgery
APF,morgan-stanley-asia-pacific-fund,Morgan Stanley Asia-Pacific Fund
APH,amphenol,Amphenol
APHA,aphria,Aphria
APHB,ampliphi-biosciences,AmpliPhi Biosciences
APLE,apple-hospitality-reit,Apple Hospitality REIT
APLS,apellis-pharmaceuticals,Apellis Pharmaceuticals
APM,aptorum-limited,Aptorum Limited
APO,apollo-global-management-llc-representing-limitied-liability-company-interests,Apollo Global Management LLC Representing Limitied Liability Company Interests
APOG,apogee-enterprises,Apogee Enterprises
APOP,cellect-biotechnology,Cellect Biotechnology
APPF,appfolio,AppFolio
APPN,appian,Appian
APPS,digital-turbine,Digital Turbine
APRN,blue-apron,Blue Apron
APT,alpha-pro-tech,Alpha Pro Tech
APTO,aptose-biosciences,Aptose Biosciences
APTS,preferred-apartment-communities,Preferred Apartment Communities
APTV,aptiv-plc,Aptiv PLC
APTX,aptinyx,Aptinyx
APU,amerigas-partners,AmeriGas Partners
APVO,aptevo-therapeutics,Aptevo Therapeutics
APWC,asia-pacific-wire-cable-limited,Asia Pacific Wire & Cable Limited
APY,apergy,Apergy
APYX,apyx-medical,Apyx Medical
AQ,aquantia,Aquantia
AQB,aquabounty,AquaBounty
AQMS,aqua-metals,Aqua Metals
AQN,algonquin-power-utilities,Algonquin Power & Utilities
AQST,aquestive-therapeutics,Aquestive Therapeutics
AQUA,evoqua-water,Evoqua Water
AQXP,aquinox-pharmaceuticals,Aquinox Pharmaceuticals
AR,antero-resources,Antero Resources
ARA,american-renal-associates,American Renal Associates
ARAV,aravive,Aravive
ARAY,accuray-incorporated,Accuray Incorporated
ARC,arc-document-solutions,ARC Document Solutions
ARCB,arcbest,ArcBest
ARCC,ares-capital,Ares Capital
ARCE,arco-platform-limited,Arco Platform Limited
ARCH,arch-coal,Arch Coal
ARCI,appliance-recycling-centers-of-america,Appliance Recycling Centers of America
ARCO,arcos-dorados-shares,Arcos Dorados Shares
ARCT,arcturus-therapeutics,Arcturus Therapeutics
ARCW,arc-worldwide,ARC Worldwide
ARD,ardagh-s-a-,Ardagh S.A.
ARDC,ares-dynamic-credit-allocation-fund,Ares Dynamic Credit Allocation Fund
ARDS,aridis-pharmaceuticals,Aridis Pharmaceuticals
ARDX,ardelyx,Ardelyx
ARE,alexandria-real-estate-equities,Alexandria Real Estate Equities
ARES,ares-management,Ares Management
AREX,approach-resources,Approach Resources
ARGO,argo-international,Argo International
ARGX,argenx-se,argenx SE
ARI,apollo-commercial-real-estate-finance,Apollo Commercial Real Estate Finance
ARKR,ark-restaurants,Ark Restaurants
ARL,american-realty-investors,American Realty Investors
ARLO,arlo,Arlo
ARLP,alliance-resource-partners,Alliance Resource Partners
ARMK,aramark,Aramark
ARNA,arena-pharmaceuticals,Arena Pharmaceuticals
ARNC,arconic,Arconic
AROC,archrock,Archrock
AROW,arrow-financial,Arrow Financial
ARPO,aerpio-pharmaceuticals,Aerpio Pharmaceuticals
ARQL,arqule,ArQule
ARR,armour-residential-reit,ARMOUR Residential REIT
ARRS,arris-international-plc,ARRIS International plc
ARRY,array-biopharma,Array BioPharma
ARTNA,artesian-resources-non-voting-common-stock,Artesian Resources Non-Voting Common Stock
ARTW,art's-way-manufacturing-co-,Art's-Way Manufacturing Co.
ARTX,arotech,Arotech
ARVN,arvinas,Arvinas
ARW,arrow-electronics,Arrow Electronics
ARWR,arrowhead-pharmaceuticals,Arrowhead Pharmaceuticals
ARYA,arya-sciences-acquisition,ARYA Sciences Acquisition
ASA,asa-gold-and-precious-metals-limited,ASA Gold and Precious Metals Limited
ASB,associated-banc-corp,Associated Banc-Corp
ASC,ardmore-shipping,Ardmore Shipping
ASCMA,ascent-capital-series-common-stock,Ascent Capital Series Common Stock
ASEA,global-x-ftse-southeast-asia,Global X FTSE Southeast Asia
ASFI,asta-funding,Asta Funding
ASG,liberty-all-star-growth-fund,Liberty All-Star Growth Fund
ASGN,asgn-incorporated,ASGN Incorporated
ASH,ashland-global,Ashland Global
ASIX,advansix,AdvanSix
ASLN,aslan-pharmaceuticals-limited,ASLAN Pharmaceuticals Limited
ASM,avino-silver-gold-mines-(canada),Avino Silver & Gold Mines (Canada)
ASMB,assembly-biosciences,Assembly Biosciences
ASML,asml-holding-n-v-,ASML Holding N.V.
ASNA,ascena-retail,Ascena Retail
ASND,ascendis-pharma-a/s,Ascendis Pharma A/S
ASNS,arsanis,Arsanis
ASPN,aspen-aerogels,Aspen Aerogels
ASPS,altisource-portfolio-solutions-s-a-,Altisource Portfolio Solutions S.A.
ASPU,aspen,Aspen
ASR,grupo-aeroportuario-del-sureste-s-a-de-c-v-,Grupo Aeroportuario del Sureste S.A. de C.V.
ASRT,assertio-therapeutics,Assertio Therapeutics
ASRV,ameriserv-financial,AmeriServ Financial
AST,asterias-biotherapeutics-common-series,Asterias Biotherapeutics Common Series
ASTC,astrotech,Astrotech
ASTE,astec-industries,Astec Industries
ASUR,asure-software,Asure Software
ASV,asv,ASV
ASX,ase-technology-holding-co-american-depositary-shares-(each-representing-two),ASE Technology Holding Co. American Depositary Shares (each representing Two)
ASYS,amtech-systems,Amtech Systems
AT,atlantic-power-(canada),Atlantic Power (Canada)
ATAI,ata,ATA
ATAX,america-first-multifamily-investors,America First Multifamily Investors
ATEC,alphatec,Alphatec
ATEN,a10-networks,A10 Networks
ATGE,adtalem-global-education,Adtalem Global Education
ATH,athene-holding,Athene Holding
ATHM,autohome-american-depositary-shares-each-representing-one-a-,Autohome American Depositary Shares each representing one A.
ATHN,athenahealth,athenahealth
ATHX,athersys,Athersys
ATI,allegheny-incorporated,Allegheny Incorporated
ATIS,attis-industries,Attis Industries
ATKR,atkore-international,Atkore International
ATLC,atlanticus,Atlanticus
ATLO,ames-national,Ames National
ATNI,atn-international,ATN International
ATNM,actinium-pharmaceuticals-(delaware),Actinium Pharmaceuticals (Delaware)
ATNX,athenex,Athenex
ATO,atmos-energy,Atmos Energy
ATOM,atomera-incorporated,Atomera Incorporated
ATOS,atossa-genetics,Atossa Genetics
ATR,aptargroup,AptarGroup
ATRA,atara-biotherapeutics,Atara Biotherapeutics
ATRC,atricure,AtriCure
ATRI,atrion,Atrion
ATRO,astronics,Astronics
ATRS,antares-pharma,Antares Pharma
ATSG,air-transport-services,Air Transport Services
ATTO,atento-s-a-,Atento S.A.
ATTU,attunity,Attunity
ATU,actuant,Actuant
ATUS,altice-usa,Altice USA
ATV,acorn-international-ads,Acorn International ADS
ATVI,activision-blizzard,Activision Blizzard
ATXI,avenue-therapeutics,Avenue Therapeutics
AU,anglogold-ashanti-limited,AngloGold Ashanti Limited
AUBN,auburn-national-bancorporation,Auburn National Bancorporation
AUDC,audiocodes,AudioCodes
AUG,auryn-resources,Auryn Resources
AUMN,golden-minerals-company,Golden Minerals Company
AUO,au-optronics-american-depositary-shares,AU Optronics American Depositary Shares
AUPH,aurinia-pharmaceuticals,Aurinia Pharmaceuticals
AUSE,wisdomtree-australia-dividend-index,WisdomTree Australia Dividend Index
AUTL,autolus-therapeutics-plc,Autolus Therapeutics plc
AUTO,autoweb,AutoWeb
AUY,yamana-gold-(canada),Yamana Gold (Canada)
AVA,avista,Avista
AVAL,grupo-aval-acciones-y-valores-s-a-(each-representing-20-preferred-shares),Grupo Aval Acciones y Valores S.A. (Each representing 20 preferred shares)
AVAV,aerovironment,AeroVironment
AVB,avalonbay-communities,AvalonBay Communities
AVCO,avalon-globocare,Avalon GloboCare
AVD,american-vanguard-($0-10-par-value),American Vanguard ($0.10 Par Value)
AVDL,avadel-pharmaceuticals-plc,Avadel Pharmaceuticals plc
AVEO,aveo-pharmaceuticals,AVEO Pharmaceuticals
AVGO,broadcom,Broadcom
AVGR,avinger,Avinger
AVH,avianca-s-a-american-depositary-shares-(each-representing-8-preferred-shares),Avianca S.A. American Depositary Shares (Each representing 8 preferred Shares)
AVID,avid-technology,Avid Technology
AVK,advent-claymore-convertible-securities-and-income-fund,Advent Claymore Convertible Securities and Income Fund
AVLR,avalara,Avalara
AVNS,avanos-medical,Avanos Medical
AVNW,aviat-networks,Aviat Networks
AVP,avon-products,Avon Products
AVRO,avrobio,AVROBIO
AVT,avnet,Avnet
AVX,avx,AVX
AVXL,anavex-life-sciences,Anavex Life Sciences
AVY,avery-dennison,Avery Dennison
AVYA,avaya,Avaya
AWF,alliancebernstein-global-high-income-fund,Alliancebernstein Global High Income Fund
AWI,armstrong-world-industries,Armstrong World Industries
AWK,american-water-works-company,American Water Works Company
AWP,aberdeen-global-premier-properties-fund-of-beneficial-interest,Aberdeen Global Premier Properties Fund of Beneficial Interest
AWR,american-states-water-company,American States Water Company
AWRE,aware,Aware
AWSM,cool,Cool
AWX,avalon,Avalon
AX,axos-financial,Axos Financial
AXAS,abraxas-petroleum,Abraxas Petroleum
AXDX,accelerate-diagnostics,Accelerate Diagnostics
AXE,anixter-international,Anixter International
AXGN,axogen,AxoGen
AXJL,wisdomtree-asia-pacific-ex-japan-total-dividend-fund,WisdomTree Asia Pacific ex-Japan Total Dividend Fund
AXL,american-axle-manufacturing,American Axle & Manufacturing
AXNX,axonics-modulation,Axonics Modulation
AXON,axovant-sciences,Axovant Sciences
AXP,american-express-company,American Express Company
AXR,amrep,AMREP
AXS,axis-capital-limited,Axis Capital Limited
AXSM,axsome-therapeutics,Axsome Therapeutics
AXTA,axalta-coating-systems,Axalta Coating Systems
AXTI,axt,AXT
AXU,alexco-resource-(canada),Alexco Resource (Canada)
AY,atlantica-yield-plc,Atlantica Yield plc
AYI,acuity-brands,Acuity Brands
AYR,aircastle-limited,Aircastle Limited
AYTU,aytu-bioscience,Aytu BioScience
AYX,alteryx,Alteryx
AZN,astrazeneca-plc,Astrazeneca PLC
AZO,autozone,AutoZone
AZPN,aspen-technology,Aspen Technology
AZRE,azure-power-global-limited-equity-shares,Azure Power Global Limited Equity Shares
AZRX,azurrx-biopharma,AzurRx BioPharma
AZUL,azul-s-a-american-depositary-shares-(each-representing-three-preferred-shares),Azul S.A. American Depositary Shares (each representing three preferred shares)
AZZ,azz,AZZ
B,barnes,Barnes
BA,the-boeing-company,The Boeing Company
BAB,invesco-taxable-municipal-bond,Invesco Taxable Municipal Bond
BABA,alibaba-holding-limited,Alibaba Holding Limited
BABY,natus-medical-incorporated,Natus Medical Incorporated
BAC,bank-of-america,Bank of America
BAF,blackrock-municipal-income-investment-quality-trust,BlackRock Municipal Income Investment Quality Trust
BAH,booz-allen-hamilton-holding,Booz Allen Hamilton Holding
BAK,braskem-sa,Braskem SA
BAM,brookfield-asset-management,Brookfield Asset Management
BANC,banc-of-california,Banc of California
BAND,bandwidth,Bandwidth
BANF,bancfirst,BancFirst
BANR,banner,Banner
BANX,stonecastle-financial,StoneCastle Financial
BAP,credicorp,Credicorp
BAS,basic-energy-services,Basic Energy Services
BASI,bioanalytical-systems,Bioanalytical Systems
BATRA,liberty-media-series-liberty-braves-common-stock,Liberty Media Series Liberty Braves Common Stock
BATRK,liberty-media-series-c-liberty-braves-common-stock,Liberty Media Series C Liberty Braves Common Stock
BAX,baxter-international,Baxter International
BB,blackberry-limited,BlackBerry Limited
BBBY,bed-bath-beyond,Bed Bath & Beyond
BBCP,concrete-pumping,Concrete Pumping
BBD,banco-bradesco-sa-american-depositary-shares,Banco Bradesco Sa American Depositary Shares
BBDC,barings-bdc,Barings BDC
BBDO,banco-bradesco-sa-american-depositary-shares-(each-representing-one),Banco Bradesco Sa American Depositary Shares (each representing one)
BBF,blackrock-municipal-income-investment-trust,BlackRock Municipal Income Investment Trust
BBGI,beasley-broadcast,Beasley Broadcast
BBH,vaneck-vectors-biotech-etf,VanEck Vectors Biotech ETF
BBK,blackrock-municipal-bond-trust,Blackrock Municipal Bond Trust
BBL,bhp-plcsponsored,BHP PlcSponsored
BBN,blackrock-taxable-municipal-bond-trust-of-beneficial-interest,BlackRock Taxable Municipal Bond Trust of Beneficial Interest
BBSI,barrett-business-services,Barrett Business Services
BBT,bb-t,BB&T
BBU,brookfield-business-partners-limited-partnership-units,Brookfield Business Partners Limited Partnership Units
BBVA,banco-bilbao-vizcaya-argentaria-s-a-,Banco Bilbao Vizcaya Argentaria S.A.
